show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,month_added,duration_movies,duration_tv
s1769,Movie,The Next Karate Kid,Christopher Cain,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio ""Sonny"" Trinidad, Michael Cavalieri, Walton Goggins",UnitedStates,2020-11-01 00:00:00,1994,PG,"Action&Adventure,Dramas,SportsMovies","In Boston, karate master Mr. Miyagi finds a new pupil in troubled teen Julie Pierce when she gets bullied by a group of relentless classmates.",November,107,107
s1770,TV Show,Voice,NULL,"Jang Hyuk, Lee Ha-na, Baek Sung-hyun, Ye-sung, Son Eun-seo, Kwon Jae-hwan, Lee Ju-seung, Kim Jae-wook",SouthKorea,2020-11-01 00:00:00,2018,TV-14,"CrimeTVShows,InternationalTVShows,KoreanTVShows","A deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own father’s murder.",November,2,2 Seasons
s1771,Movie,Wheels of Fortune,Shaun Paul Piccinino,"Matt Jones, Noureen DeWulf, John Ducey, Matty Cardarople, Jeff Fahey, Christina Moore, Gabriel Tigerman, Ali Afshar, Tyler Jacob Moore, Jessica Serfaty",UnitedStates,2020-11-01 00:00:00,2020,R,"Comedies,SportsMovies","To claim a big inheritance, a down-on-his-luck mechanic must win a series of competitions as outlined in his birth father's will.",November,107,107
s1772,TV Show,Afronta! Facing It!,Juliana Vicente,"Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká",Brazil,2020-10-31 00:00:00,2017,TV-PG,"Docuseries,InternationalTVShows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",October,1,1 Season
s1773,Movie,The 12th Man,Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen, Vegar Hoel, Håkon T. Nielsen, Eirik Risholm Velle, Daniel Frikstad, Eric Dirnes, Alexander Zwart",Norway,2020-10-31 00:00:00,2018,TV-MA,"Action&Adventure,Dramas,InternationalMovies","Based on true events, this story follows a Norwegian saboteur’s harrowing struggle to reach safety after escaping a Nazi attack during World War II.",October,130,130
s1774,TV Show,Zumbo's Just Desserts,NULL,"Adriano Zumbo, Rachel Khoo",Australia,2020-10-31 00:00:00,2019,TV-PG,"InternationalTVShows,RealityTV","Dessert wizard Adriano Zumbo looks for the next “Willy Wonka” in this tense competition that finds skilled amateurs competing for a $100,000 prize.",October,1,1 Season
s1775,Movie,Hidden in Plain Sight,Stacia Crawford,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",UnitedStates,2020-10-30 00:00:00,2019,TV-14,"Dramas,IndependentMovies,Thrillers",A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.,October,87,87
s1776,Movie,His House,Remi Weekes,"Ṣọpẹ́ Dìrísù, Wunmi Mosaku, Matt Smith, Malaika Wakoli-Abigaba",UnitedKingdom,2020-10-30 00:00:00,2020,TV-14,"HorrorMovies,IndependentMovies","As a young couple from war-torn South Sudan seeks asylum and a fresh start in England, they’re tormented by a sinister force living in their new home.",October,93,93
s1777,Movie,In Line,Tope Oshin,"Chris Attoh, Adesua Etomi, Uzor Arukwe, Sika Osei, Leonora Okien, Shawn Faqua, Tina Mba",Nigeria,2020-10-30 00:00:00,2017,TV-14,"Dramas,InternationalMovies","A convicted murderer gets out of prison and reunites with his wife, who is plotting revenge against him after years of physical and emotional abuse.",October,114,114
s1778,Movie,Kaali Khuhi,Terrie Samundra,"Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod",India,2020-10-30 00:00:00,2020,TV-14,"HorrorMovies,InternationalMovies","When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl.",October,91,91
s1779,TV Show,Kongsuni and Friends,NULL,"Hong So-yeong, Choi Bo-bae, Kim Eun-ah, Jeong Hye-won, Bae Jin-hong, Um Sang-hyun, Cha Moo-jin, Jang Min-young, Jang Do-young, Kim Sook-young, Park Ran, Kim Chang-won, Park Yeon-kyung",NULL,2020-10-30 00:00:00,2020,TV-Y,"Kids'TV,KoreanTVShows",A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.,October,2,2 Seasons
s1780,TV Show,Marvel's Agents of S.H.I.E.L.D.,NULL,"Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons",UnitedStates,2020-10-30 00:00:00,2020,TV-14,"TVAction&Adventure,TVSci-Fi&Fantasy","Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats.",October,7,7 Seasons
s1781,Movie,Rogue City,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle, Jean Reno, Claudia Cardinale, Gérard Lanvin, Patrick Catalifo, Moussa Maaskri, Catherine Marchal",France,2020-10-30 00:00:00,2020,TV-MA,"Dramas,InternationalMovies,Thrillers","Caught in the crosshairs of police corruption and Marseille’s warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",October,116,116
s1782,TV Show,Somebody Feed Phil,NULL,Philip Rosenthal,UnitedStates,2020-10-30 00:00:00,2020,TV-14,"Docuseries,RealityTV","""Everybody Loves Raymond"" creator Phil Rosenthal travels the globe to take in the local cuisine and culture of Bangkok, Lisbon, Mexico City and more.",October,4,4 Seasons
s1783,TV Show,Suburra: Blood on Rome,NULL,"Alessandro Borghi, Giacomo Ferrara, Eduardo Valdarnini, Francesco Acquaroli, Filippo Nigro, Claudia Gerini, Adamo Dionisi, Barbara Chichiarelli, Federico Tocci, Gerasimos Skiadaresis, Elisabetta De Palo, Carlotta Antonelli, Renato Marchetti, Paola Sotgiu",Italy,2020-10-30 00:00:00,2020,TV-MA,"CrimeTVShows,InternationalTVShows,TVDramas","In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",October,3,3 Seasons
s1784,Movie,The Day of the Lord,Santiago Alvarado Ilarri,"Juli Fàbregas, Ximena Romo, Héctor Illanes, Dolores Heredia",Mexico Spain,2020-10-30 00:00:00,2020,TV-MA,"HorrorMovies,InternationalMovies","In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter.",October,93,93
s1785,Movie,Pagpag: Nine Lives,Frasco Mortiz,"Daniel Padilla, Kathryn Bernardo, Shaina Magdayao, Paulo Avelino, Matet De Leon, Janus del Prado, Miles Ocampo, Clarence Delgado, CJ Navato, Michelle Vito",Philippines,2020-10-29 00:00:00,2013,TV-14,"HorrorMovies,InternationalMovies","After ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted — and hunted — by an evil spirit.",October,106,106
s1786,Movie,Holidate,John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",UnitedStates,2020-10-28 00:00:00,2020,TV-MA,"Comedies,RomanticMovies","Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",October,105,105
s1787,Movie,La Gran Ilusión,Antonio Díaz,Antonio Díaz,NULL,2020-10-28 00:00:00,2016,TV-14,InternationalMovies,"Known as ""El Mago Pop,"" illusionist Antonio Díaz shocks and awes celebrities and bystanders around the world with his mind-blowing performances.",October,50,50
s1788,Movie,Metallica Through The Never,Nimród Antal,"Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo",UnitedStates,2020-10-28 00:00:00,2013,R,Music&Musicals,"As heavy metal band Metallica tears up the stage, a young roadie is sent on an urgent errand. But his mission soon takes a surreal turn.",October,93,93
s1789,Movie,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski",Poland,2020-10-28 00:00:00,2020,TV-MA,"HorrorMovies,InternationalMovies","Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",October,103,103
s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,NULL,UnitedStates,2020-10-28 00:00:00,2020,TV-PG,Documentaries,"After unearthing a tomb that had been untouched for 4,400 years, Egyptian archaeologists attempt to decipher the history of the extraordinary find.",October,114,114
s1791,TV Show,Blood of Zeus,NULL,"Derek Phillips, Jason O'Mara, Claudia Christian, Mamie Gummer, Jessica Henwick, Elias Toufexis, Chris Diamantopoulos, Adetokumboh M'Cormack, Matthew Mercer, Melina Kanakaredes, Danny Jacobs, Matt Lowe, Adam Croasdell, Jennifer Hale, David Shaughnessy, Fred Tatasciore, Vanessa Marshall",UnitedStates,2020-10-27 00:00:00,2020,TV-MA,AnimeSeries,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",October,1,1 Season
s1792,TV Show,Chico Bon Bon: Monkey with a Tool Belt,NULL,"Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Roberta Lemons, Cole Seaver",UnitedStates,2020-10-27 00:00:00,2020,TV-Y,Kids'TV,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems.",October,4,4 Seasons
s1793,Movie,Guillermo Vilas: Settling the Score,Matías Gueilburt,NULL,Argentina,2020-10-27 00:00:00,2020,TV-14,"Documentaries,InternationalMovies,SportsMovies","An Argentine journalist strives to prove that his countryman, tennis star Guillermo Vilas, was wrongly denied the No. 1 world ranking in the 1970s.",October,95,95
s1794,Movie,Sarah Cooper: Everything's Fine,Natasha Lyonne,"Sarah Cooper, Fred Armisen, Maya Rudolph, Ben Stiller, Megan Thee Stallion, Jane Lynch, Jon Hamm, Aubrey Plaza, Connie Chung, Jordan Black, Tommy Davidson, Helen Mirren, Jonathan Van Ness, Danielle Brooks, Winona Ryder, Marcella Arguello, Eddie Pepitone, Marisa Tomei, Whoopi Goldberg, Tom Kane",UnitedStates,2020-10-27 00:00:00,2020,TV-MA,Comedies,"Comedian and Trump lip-synching sensation Sarah Cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.",October,50,50
s1795,TV Show,The Devil Punisher,"Chang Chin-jung, Chen Rong-hui","Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien",Taiwan,2020-10-26 00:00:00,2020,TV-14,"InternationalTVShows,RomanticTVShows,TVMysteries","A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.",October,1,1 Season
s1796,Movie,Ajab Prem Ki Ghazab Kahani,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Govind Namdeo, Darshan Jariwala, Zakir Hussain, Smita Jaykar, Navneet Nishan, Dolly Bindra, Upen Patel",India,2020-10-25 00:00:00,2009,TV-14,"Comedies,InternationalMovies,Music&Musicals","A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",October,150,150
s1797,Movie,Black '47,Lance Daly,"Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox, Barry Keoghan, Moe Dunford, Sarah Greene, Jim Broadbent",Ireland Luxembourg Belgium,2020-10-24 00:00:00,2018,R,"Action&Adventure,Dramas,IndependentMovies","When the Great Famine ravages his beloved country, a battle-hardened Irishman deserts the British Empire and exacts revenge on the tyrants responsible.",October,100,100
s1798,Movie,I Am Woman,Unjoo Moon,"Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg",Australia,2020-10-24 00:00:00,2019,TV-MA,"Dramas,Music&Musicals","In the 1960s, Australian singer Helen Reddy struggles with misogyny in the music business — until she records an anthem for the women's movement.",October,117,117
s1799,Movie,Alice Junior,Gil Baroni,"Anne Celestino Mota, Emmanuel Rosset, Matheus Moura, Surya Amitrano, Thaís Schier, Cida Rolim, Katia Horn, Igor Augustho, Marcel Szymanski",Brazil,2020-10-23 00:00:00,2019,TV-MA,"Comedies,InternationalMovies,LGBTQMovies","In a small town, a trans teen with a vibrant personality shakes up her high school's conservative ways while trying to secure her first kiss.",October,87,87
s1800,TV Show,Barbarians,NULL,"Laurence Rupp, Jeanne Goursaud, David Schütter, Ronald Zehrfeld, Nicki von Tempelhoff, Bernhard Schütz, Eva Verena Müller, Sophie Rois, Gaetano Aronica, Nikolai Kinski, Jeremy Miliker",Germany,2020-10-23 00:00:00,2020,TV-MA,"InternationalTVShows,TVAction&Adventure,TVDramas","Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.",October,1,1 Season
s1801,TV Show,Move,"Thierry Demaizière, Alban Teurlai",NULL,UnitedStates,2020-10-23 00:00:00,2020,TV-MA,"Docuseries,InternationalTVShows",Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,October,1,1 Season
s1802,Movie,Over the Moon,Glen Keane,"Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora",China UnitedStates,2020-10-23 00:00:00,2020,PG,"Children&FamilyMovies,Music&Musicals","Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.",October,100,100
s1803,Movie,Shattered Memories,Chris Sivertson,"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy",UnitedStates,2020-10-23 00:00:00,2018,TV-14,"Dramas,Thrillers","When her former lover's mysteriously murdered, a woman must clear her name – and avoid the killer.",October,86,86
s1804,TV Show,Stolen Away,NULL,"Daniel Grao, Carolina Lapausa, Melani Olivares, Adriana Paz, Fernando Solórzano, Juan Carlos Messier, Jon Arias, Verónica Velásquez, David Trejos, Ana Maria Orozco",Spain,2020-10-23 00:00:00,2020,TV-MA,"CrimeTVShows,InternationalTVShows,Spanish-LanguageTVShows","Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia.",October,1,1 Season
s1805,TV Show,The Queen's Gambit,NULL,"Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd",UnitedStates,2020-10-23 00:00:00,2020,TV-MA,TVDramas,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",October,1,1 Season
s1806,Movie,Bending the Arc,"Kief Davidson, Pedro Kos",NULL,UnitedStates,2020-10-22 00:00:00,2017,TV-MA,Documentaries,This documentary follows a group of ambitious advocates whose mission to save lives in Haiti turns into a global fight for health care and justice.,October,102,102
s1807,Movie,Cadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Tuva Olivia Remman, Trine Wiggen, Maria Grazia Di Meo, Kingsford Siayor, Jonatan Rodriguez",Norway,2020-10-22 00:00:00,2020,TV-MA,"HorrorMovies,InternationalMovies","When a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they'll pay much more than the price of admission.",October,87,87
s1808,Movie,Exes Baggage,Dan Villegas,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",Philippines,2020-10-22 00:00:00,2018,TV-MA,"Dramas,InternationalMovies,RomanticMovies","After years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past.",October,103,103
s1809,Movie,Fisherman's Friends,Chris Foggin,"Daniel Mays, James Purefoy, David Hayman, Dave Johns, Sam Swainsbury, Tuppence Middleton, Noel Clarke, Maggie Steed, Vahid Gold, Christian Brassington",UnitedKingdom,2020-10-22 00:00:00,2019,PG-13,"Comedies,Dramas,Music&Musicals","Sea shanties have long united 10 Cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.",October,112,112
s1810,Movie,The Hows of Us,Cathy Garcia-Molina,"Kathryn Bernardo, Daniel Padilla, Darren Espanto, Jean Garcia, Susan Africa, Ria Atayde, Kit Thompson, Odette Khan, Alwyn Uytingco, Juan Miguel Severo",Philippines,2020-10-22 00:00:00,2018,TV-14,"Dramas,InternationalMovies,RomanticMovies","A young couple's house was once a happy home. But with one as the breadwinner and the other looking for a big break, can love still live here?",October,120,120
s1811,Movie,The Hummingbird Project,Kim Nguyen,"Jesse Eisenberg, Alexander Skarsgård, Salma Hayek, Michael Mando, Sarah Goldberg, Anna Maguire, Frank Schorpion, Johan Heldenbergh, Kwasi Songui, Ayisha Issa",Canada Belgium,2020-10-22 00:00:00,2018,R,"Dramas,IndependentMovies","After discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation.",October,111,111
s1812,Movie,"Yes, God, Yes",Karen Maine,"Natalia Dyer, Timothy Simons, Wolfgang Novogratz, Francesca Reale, Susan Blackwell, Alisha Boe, Donna Lynne Champlin, Parker Wierling",UnitedStates,2020-10-22 00:00:00,2020,R,"Comedies,Dramas,IndependentMovies","A devoutly religious teen grapples with her own sexual awakening, and attends a Catholic school retreat in the hopes of suppressing her newfound urges.",October,78,78
s1813,Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith",Canada UnitedKingdom,2020-10-21 00:00:00,2020,TV-PG,"Documentaries,InternationalMovies","From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water.",October,51,51
s1814,TV Show,My Next Guest Needs No Introduction With David Letterman,NULL,"President Barack Obama, George Clooney, Malala Yousafzai, Jay-Z, Tina Fey, Howard Stern, David Letterman",UnitedStates,2020-10-21 00:00:00,2020,TV-MA,Stand-UpComedy&TalkShows,TV legend David Letterman teams up with fascinating global figures for in-depth interviews and curiosity-fueled excursions in this monthly talk show.,October,3,3 Seasons
s1815,Movie,Rebecca,Ben Wheatley,"Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",UnitedKingdom,2020-10-21 00:00:00,2020,PG-13,"Dramas,RomanticMovies,Thrillers","A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.",October,123,123
s1816,Movie,The Magic School Bus Rides Again The Frizz Connection,Richard Weston,"Kate McKinnon, Roman Lutterotti, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mucci, Birva Pandya, Lynsey Pham, Kaden Stephen",Canada,2020-10-20 00:00:00,2020,TV-Y,Children&FamilyMovies,"Lightning splits the Magic School Bus into three pieces, scattering the class across the globe with different versions of Ms. Frizzle aboard each bus!",October,46,46
s1817,Movie,Tremors: Shrieker Island,Don Michael Paul,"Michael Gross, Jon Heder, Caroline Langrishe, Cassie Clare, Matthew Douglas, Sahajak Boonthanakit, David Asavanond, Jackie Cruz, Richard Brake",UnitedStates,2020-10-20 00:00:00,2020,PG-13,"Action&Adventure,HorrorMovies","When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.",October,102,102
s1818,Movie,Beirut Oh Beirut,Maroun Baghdadi,"Ezzat El Alaily, Mireille Maalouf, Joseph Bou Nassar, Elie Adabachi, Philippe Akiki, Ahmed Al Zein",Lebanon,2020-10-19 00:00:00,1975,TV-14,"ClassicMovies,Dramas,InternationalMovies","In the aftermath of the 1967 Arab-Israeli War, four young Lebanese navigate their existence along rapidly transforming political lines.",October,106,106
s1819,Movie,Bosta,Philippe Aractingi,"Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",Lebanon,2020-10-19 00:00:00,2005,TV-14,"Dramas,InternationalMovies,Music&Musicals","After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines.",October,112,112
s1820,Movie,Ghadi,Amin Dora,"Georges Khabbaz, Lara Rain, Emmanuel Khairallah, Samir Youssef, Camille Salameh, Rodrigue Sleiman, Caroline Labaki, Giselle Boueiz, Christine Choueiri",Lebanon,2020-10-19 00:00:00,2013,TV-MA,"Comedies,Dramas,InternationalMovies","When the father of a boy with Down syndrome resists his neighbors' efforts to have the child institutionalized, miraculous events begin to occur.",October,101,101
s1821,Movie,Heritages,Philippe Aractingi,"Philippe Aractingi, Diane Aractingi",Lebanon UnitedArabEmirates France Switzerland Germany,2020-10-19 00:00:00,2014,TV-14,"Documentaries,InternationalMovies","After being forced to leave his country three times, a Lebanese film director traces his roots and analyzes key moments of the nation's history.",October,96,96
s1822,Movie,Listen,Philippe Aractingi,"Hadi Bou Ayash, Ruba Zarour, Yara Bou Nassar, Rafik Ali Ahmad, Joseph Bou Nassar, Lama Lawand",Lebanon,2020-10-19 00:00:00,2017,TV-MA,"Dramas,IndependentMovies,InternationalMovies","A sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses.",October,103,103
s1823,Movie,Out of Life,Maroun Baghdadi,"Hippolyte Girardot, Rafik Ali Ahmad, Hussein Sbeity, Habib Hammoud, Majdi Machmouchi, Hassan Farhat, Hassan Zbib, Nabila Zeitouni, Hamza Nasrallah, Sami Hawat, Sabrina Leurquin, Roger Assaf, Nidal El Askhar",France Belgium Italy,2020-10-19 00:00:00,1991,TV-MA,"ClassicMovies,Dramas,IndependentMovies","Kidnapped by guerrillas in Beirut, a French photojournalist refuses to yield his dignity despite being tortured and brainwashed by his captors.",October,94,94
s1824,Movie,Panoptic,Rana Eid,Rana Eid,Lebanon,2020-10-19 00:00:00,2017,TV-MA,"Documentaries,InternationalMovies",This documentary dissects Lebanon's present-day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation's past.,October,69,69
s1825,Movie,Taxi Ballad,Daniel Joseph,"Talal El-Jordi, Karina Logue, Badih Abou Chakra, Tariq Tamim, Omar Mikati, Hiam Abou Chedid, Mahmoud Mabsout, Aida Sabra",Lebanon UnitedStates UnitedArabEmirates,2020-10-19 00:00:00,2012,TV-MA,"Dramas,InternationalMovies",A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.,October,81,81
s1826,Movie,The Kite,Randa Chahal Sabbag,"Flavia Bechara, Maher Bsaibes, Randa Asmar, Renée Dick, Julia Kassar, Liliane Nemri, Ziad Rahbani, Nayef Naji, Edmond Haddad, Alia Nemry",Lebanon France,2020-10-19 00:00:00,2003,TV-MA,"Dramas,InternationalMovies,RomanticMovies","In an occupied village, a teen girl is set to wed a stranger. But when she crosses over to meet her betrothed, her heart gets entangled at the border.",October,76,76
s1827,Movie,The Little Wars,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay",France Lebanon,2020-10-19 00:00:00,1982,TV-14,"Dramas,IndependentMovies,InternationalMovies","Beirut resident Soraya is drawn to two men: daredevil photographer Nabil and Talal, who must embrace his feudal heritage when his father is kidnapped.",October,108,108
s1828,Movie,Under the Bombs,Philippe Aractingi,"Nada Abou Farhat, Georges Khabbaz, Bshara Atallah, Rawia Elchab, Elham Abbas, Iman Affara, Zahra Ali, Ali Maerouf Amer, Ali Azour, Najat Darwish",France Lebanon UnitedKingdom,2020-10-19 00:00:00,2007,TV-MA,"Dramas,IndependentMovies,InternationalMovies",A mother arrives in war-torn Lebanon looking for her missing son in the South as a cab driver agrees to escort her on her dangerous trip.,October,94,94
s1829,TV Show,Unsolved Mysteries,NULL,NULL,NULL,2020-10-19 00:00:00,2020,TV-MA,"CrimeTVShows,Docuseries","Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",October,2,2 Seasons
s1830,Movie,West Beirut,Ziad Doueiri,"Rami Doueiri, Mohamad Chamas, Rola Al Amin, Carmen Lebbos, Joseph Bou Nassar, Liliane Nemri",France Norway Lebanon Belgium,2020-10-19 00:00:00,1999,TV-MA,"Dramas,InternationalMovies","Three intrepid teens roam the streets of Beirut in the midst of civil war, filming on a Super 8 camera and reckoning with the pains of growing up.",October,106,106
s1831,Movie,What Did I Mess,Shady Hanna,"Rola Beksmati, Junaid Zeineldine, Abboudy Mallah, Tanya Nasr, Matteo El Khodr, Rita El Khoury, Tony Benn",Lebanon,2020-10-19 00:00:00,2018,TV-14,"Comedies,InternationalMovies,RomanticMovies","In an attempt to get her ex to propose, Nayla hosts a gathering to introduce him to her new suitor — only for the party to turn into a hellish occasion.",October,98,98
s1832,Movie,Whispers,Maroun Baghdadi,"Nadia Tueni, Ziad Rahbani",Lebanon Canada France,2020-10-19 00:00:00,1980,TV-14,"Documentaries,InternationalMovies","With her home devastated by war, a Lebanese poet takes a cross-country road trip, looking for glimmers of hope through nostalgic memories and verse.",October,93,93
s1833,Movie,Zozo,Josef Fares,"Imad Creidi, Antoinette Turk, Elias Gergi, Carmen Lebbos, Viktor Axelsson, Charbel Iskandar, Yasmine Awad",Sweden CzechRepublic UnitedKingdom Denmark Netherlands,2020-10-19 00:00:00,2005,TV-MA,"Dramas,InternationalMovies","When Lebanon's Civil War deprives Zozo of his family, he's left with grief and little means as he escapes to Sweden in search of his grandparents.",October,99,99
s1834,Movie,ParaNorman,"Sam Fell, Chris Butler","Kodi Smit-McPhee, Tucker Albrizzi, Anna Kendrick, Casey Affleck, Christopher Mintz-Plasse, Leslie Mann, Jeff Garlin, Elaine Stritch, Bernard Hill, Jodelle Ferland, Tempestt Bledsoe, Alex Borstein, John Goodman",UnitedStates,2020-10-18 00:00:00,2012,PG,"Children&FamilyMovies,Comedies","When an army of zombies invades a small town, it's up to an odd local boy with a knack for communicating with the dead to save the day.",October,93,93
s1835,TV Show,Start-Up,NULL,"Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na, Kim Do-wan, Yu Su-bin, Stephanie Lee, Kim Hae-sook, Seo Yi-sook, Song Sun-mi",SouthKorea,2020-10-18 00:00:00,2020,TV-14,"InternationalTVShows,RomanticTVShows,TVComedies",Young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of Korea's high-tech industry.,October,1,1 Season
s1836,Movie,I Am Vengeance: Retaliation,Ross Boyask,"Stu Bennett, Vinnie Jones, Mark Griffin, Katrina Durden, Phoebe Robinson-Galvin, Sam Benjamin, David Schaal, Jessica-Jane Stafford, Bentley Kalu, Jean-Paul Ly",UnitedKingdom,2020-10-17 00:00:00,2020,R,Action&Adventure,"To clear his criminal record, an ex-special forces soldier agrees to lead a team to retrieve a double-crossing mercenary and deliver him to justice.",October,82,82
